,track_id,track_href,track_name,track_uri,related_id,related_name,artist_id,artist_name
0,361VJCtpxxjA32lh4P0jZU,https://api.spotify.com/v1/tracks/361VJCtpxxjA32lh4P0jZU,Living On My Own - No More Brothers Radio Mix,spotify:track:361VJCtpxxjA32lh4P0jZU,4M1FpEWs2PeYfJe7xxJfhH,Freddie Mercury,1dfeR4HaWDbWqFHLkxsg1d,Queen
1,4xm2RpQtpFVlPlO1v4BrBr,https://api.spotify.com/v1/tracks/4xm2RpQtpFVlPlO1v4BrBr,The Great Pretender,spotify:track:4xm2RpQtpFVlPlO1v4BrBr,4M1FpEWs2PeYfJe7xxJfhH,Freddie Mercury,1dfeR4HaWDbWqFHLkxsg1d,Queen
2,14FAtIQZsRYeu8zVI33l7f,https://api.spotify.com/v1/tracks/14FAtIQZsRYeu8zVI33l7f,I Was Born to Love You,spotify:track:14FAtIQZsRYeu8zVI33l7f,4M1FpEWs2PeYfJe7xxJfhH,Freddie Mercury,1dfeR4HaWDbWqFHLkxsg1d,Queen
3,6cNTGVmP2CzJpLQ01QIaD0,https://api.spotify.com/v1/tracks/6cNTGVmP2CzJpLQ01QIaD0,Living on My Own - Single Edit,spotify:track:6cNTGVmP2CzJpLQ01QIaD0,4M1FpEWs2PeYfJe7xxJfhH,Freddie Mercury,1dfeR4HaWDbWqFHLkxsg1d,Queen
4,3BdId1EhcMX7yAzwzQJLAD,https://api.spotify.com/v1/tracks/3BdId1EhcMX7yAzwzQJLAD,Barcelona,spotify:track:3BdId1EhcMX7yAzwzQJLAD,4M1FpEWs2PeYfJe7xxJfhH,Freddie Mercury,1dfeR4HaWDbWqFHLkxsg1d,Queen
5,0otmxJEwq9JI1CidrcYEq4,https://api.spotify.com/v1/tracks/0otmxJEwq9JI1CidrcYEq4,Love Me Like There's No Tomorrow - Special Edition,spotify:track:0otmxJEwq9JI1CidrcYEq4,4M1FpEWs2PeYfJe7xxJfhH,Freddie Mercury,1dfeR4HaWDbWqFHLkxsg1d,Queen
6,1I4O4czyeGrvBH9RUtWzhz,https://api.spotify.com/v1/tracks/1I4O4czyeGrvBH9RUtWzhz,Living on My Own - Julian Raymond Album Mix,spotify:track:1I4O4czyeGrvBH9RUtWzhz,4M1FpEWs2PeYfJe7xxJfhH,Freddie Mercury,1dfeR4HaWDbWqFHLkxsg1d,Queen
7,4HyCv4lGb8NBnMAC7NB1vm,https://api.spotify.com/v1/tracks/4HyCv4lGb8NBnMAC7NB1vm,How Can I Go On - New Orchestrated Version,spotify:track:4HyCv4lGb8NBnMAC7NB1vm,4M1FpEWs2PeYfJe7xxJfhH,Freddie Mercury,1dfeR4HaWDbWqFHLkxsg1d,Queen
8,6BZuf8iLTI18rN8L8WarzL,https://api.spotify.com/v1/tracks/6BZuf8iLTI18rN8L8WarzL,Mr. Bad Guy - Special Edition,spotify:track:6BZuf8iLTI18rN8L8WarzL,4M1FpEWs2PeYfJe7xxJfhH,Freddie Mercury,1dfeR4HaWDbWqFHLkxsg1d,Queen
9,4A3U94BsyUELJZ3uHZC7c8,https://api.spotify.com/v1/tracks/4A3U94BsyUELJZ3uHZC7c8,I Was Born To Love You - Special Edition,spotify:track:4A3U94BsyUELJZ3uHZC7c8,4M1FpEWs2PeYfJe7xxJfhH,Freddie Mercury,1dfeR4HaWDbWqFHLkxsg1d,Queen
10,2RlgNHKcydI9sayD2Df2xp,https://api.spotify.com/v1/tracks/2RlgNHKcydI9sayD2Df2xp,Mr. Blue Sky,spotify:track:2RlgNHKcydI9sayD2Df2xp,7jefIIksOi1EazgRTfW2Pk,Electric Light Orchestra,1dfeR4HaWDbWqFHLkxsg1d,Queen
11,72ahyckBJfTigJCFCviVN7,https://api.spotify.com/v1/tracks/72ahyckBJfTigJCFCviVN7,Don't Bring Me Down,spotify:track:72ahyckBJfTigJCFCviVN7,7jefIIksOi1EazgRTfW2Pk,Electric Light Orchestra,1dfeR4HaWDbWqFHLkxsg1d,Queen
